element,Cp,Cv,B,special_flag
Li,3.550,3.410,13.63,false
Na,1.20,1.081,7.21,false
K,0.74,0.637,3.99,false
V,0.48,0.475,155.87,false
Nb,0.26,0.257,187.50,false
Ta,0.137,0.136,206.10,false
Mo,0.250,0.248,285.20,false
W,0.132,0.131,338.30,false
Fe,0.447,0.421,173.10,true
Ca,0.63,0.612,16.60,false
Ni,0.44,0.400,186.50,true
Cu,0.384,0.373,137.20,false
Ag,0.235,0.226,100.10,false
Au,0.131,0.126,172.10,false
Al,0.913,0.883,76.40,false
Pb,0.128,0.120,40.37,false
Pd,0.240,0.230,192.30,false
Pt,0.130,0.126,274.80,false
Ir,0.126,0.125,370.20,false
Be,1.983,1.916,125.80,true
Mg,1.020,0.989,33.26,false
Y,0.297,0.276,46.94,false
Re,0.130,0.128,363.33,false
Ti,0.520,0.503,123.56,true
Zn,0.389,0.373,58.39,false
Cd,0.231,0.220,43.60,false
In,0.230,0.216,39.24,false
Si,0.705,0.702,98.10,true
Ge,0.320,0.319,75.40,false
