T_mean,Cp_over_R
6.23,0.01113
7.91,0.02371
8.36,0.02721
10.22,0.04928
13.57,0.09825
14.27,0.1140
15.49,0.1345
16.37,0.1508
18.22,0.1873
21.21,0.2513
21.40,0.2543
22.16,0.2698
22.71,0.2782
24.71,0.3185
26.04,0.3480
28.98,0.4149
29.00,0.4131
31.47,0.4722
32.05,0.4860
34.16,0.5373
35.59,0.5687
37.36,0.6099
39.64,0.6617
40.98,0.6913
45.08,0.7770
49.81,0.8846
50.24,0.8986
52.68,0.9514
55.19,1.005
58.02,1.063
61.12,1.118
64.03,1.188
67.77,1.272
70.59,1.335
74.59,1.440
77.72,1.513
85.54,1.711
94.89,1.954
103.85,2.143
104.49,2.164
113.29,2.372
114.22,2.395
124.36,2.628
134.66,2.840
145.15,3.086
155.31,3.300
165.04,3.496
174.95,3.713
185.07,3.870
195.14,4.089
205.14,4.241
215.29,4.401
225.43,4.566
235.48,4.675
245.53,4.883
255.68,5.021
265.86,5.178
276.03,5.316
286.13,5.417
290.81,5.475
293.19,5.500
295.60,5.529
296.14,5.557
297.38,5.555
297.97,5.589
299.17,5.596
300.37,5.595
302.12,5.636
304.49,5.636
305.14,5.658
305.72,5.699
306.10,5.689
307.02,5.660
307.52,5.699
309.76,5.726
309.99,5.719
311.13,5.719
312.50,5.754
312.55,5.743
315.11,5.792
317.66,5.801
320.21,5.879
322.75,5.902
325.28,5.941
327.81,5.960
330.33,6.021
332.85,6.064
335.36,6.115
336.97,6.121
337.87,6.147
338.29,6.124
339.62,6.127
340.37,6.183
340.95,6.152
343.61,6.176
344.93,6.196
345.37,6.237
346.26,6.222
347.58,6.241
348.89,6.267
