true_strain,true_stress
0.0,0.0
0.0005,36.5
0.001,73.0
0.0015,109.5
0.002,146.0
0.0025,182.5
0.003,219.0
0.0033,240.9
0.0034,248.2
0.00342466,250.0
0.0035,250.01
0.004,250.08
0.005,250.22
0.01,250.93
0.02,252.35
0.04,255.19
0.06,258.03
0.08,260.87
0.10,263.71
0.12,266.55
0.14,269.39
0.16,272.23
0.18,275.07
0.20,277.91
0.22,280.75
0.24,283.59
0.26,286.43
0.28,289.27
0.30,292.11
0.32,294.95
0.34,297.79
0.36,300.63
0.38,303.47
0.40,306.31
0.42,309.15
0.44,311.99
0.46,314.83
0.48,317.67
0.50,320.51
0.52,323.35
0.54,326.19
0.56,329.03
0.58,331.87
0.60,334.71
0.62,337.55
0.64,340.39
0.66,343.23
0.68,346.07
0.70,348.91
0.72,351.75
0.74,354.59
0.76,357.43
0.78,360.27
0.80,363.11
